Symbol,Quantity,Opening Date,Opening Price $,Opening Net Amount $,Type,Closing Date,Closing Price $,Closing Net Amount $,Realized Gain $,Term,
AMZN Apr 09 '20 $1950 Put,10,04/07/2020,4.80,4805.16,OX,04/10/2020,0.00,0.00,-4805.16,Short,
AMZN Apr 09 '20 $2000 Put,3,04/09/2020,1.30,391.55,OX,04/10/2020,0.00,0.00,-391.55,Short,
AMZN Apr 09 '20 $2000 Put,2,04/09/2020,1.33,267.03,OX,04/10/2020,0.00,0.00,-267.03,Short,
AMZN Apr 17 '20 $2050 Call,4,03/12/2020,11.47,4590.07,S,03/13/2020,11.65,4657.82,67.76,Short,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.59,1159.52,S,03/13/2020,11.71,1170.46,10.94,Short,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.63,1163.52,S,03/13/2020,11.71,1170.46,6.94,Short,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.77,1177.52,S,03/13/2020,11.70,1169.46,-8.06,Short,
AMZN Apr 17 '20 $2050 Call,12,03/12/2020,11.80,14166.20,S,03/13/2020,11.70,14033.47,-132.73,Short,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.49,1149.52,S,03/13/2020,11.70,1169.46,19.94,Short,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.54,1154.52,S,03/13/2020,11.70,1169.46,14.94,Short,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.68,1168.52,S,03/13/2020,11.70,1169.46,0.94,Short,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.73,1173.52,S,03/13/2020,11.70,1169.46,-4.06,Short,
AMZN Apr 17 '20 $2050 Call,2,03/12/2020,11.74,2349.03,S,03/13/2020,11.70,2338.91,-10.12,Short,
AMZN Apr 17 '20 $2050 Call,4,03/12/2020,11.47,4590.07,S,03/13/2020,12.52,5005.82,415.75,Short,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.74,1174.52,S,03/13/2020,12.52,1251.45,76.94,Short,
AMZN Apr 17 '20 $2050 Call,5,03/12/2020,11.80,5902.58,S,03/13/2020,12.65,6322.27,419.69,Short,
AMZN Apr 17 '20 $2050 Call,1,03/12/2020,11.74,1174.52,S,03/13/2020,12.73,1272.45,97.94,Short,
AMZN Apr 17 '20 $2050 Call,4,03/12/2020,11.80,4722.07,S,03/13/2020,12.73,5089.81,367.75,Short,
AMZN Apr 17 '20 $2050 Call,10,03/13/2020,12.00,12005.16,S,03/18/2020,25.00,24994.26,12989.10,Short,
AMZN Apr 17 '20 $2050 Call,30,03/13/2020,12.00,36015.49,S,03/18/2020,25.00,74982.79,38967.30,Short,
AMZN Apr 17 '20 $2050 Call,10,03/13/2020,9.74,9745.16,S,03/18/2020,25.00,24994.26,15249.10,Short,
AMZN Apr 17 '20 $2100 Call,1,02/28/2020,21.00,2100.52,S,03/04/2020,30.65,3064.41,963.90,Short,
AMZN Apr 17 '20 $2100 Call,1,02/28/2020,21.00,2100.52,S,03/04/2020,30.67,3066.41,965.90,Short,
AMZN Apr 17 '20 $2100 Call,8,02/28/2020,21.00,16804.13,S,03/04/2020,30.69,24547.31,7743.18,Short,
AMZN Apr 17 '20 $2100 Call,5,03/10/2020,16.50,8252.58,S,03/11/2020,10.45,5222.29,-3030.29,Short,
AMZN Apr 17 '20 $2100 Call,14,03/10/2020,16.50,23107.23,S,03/11/2020,10.45,14622.42,-8484.81,Short,
AMZN Apr 17 '20 $2100 Call,1,03/10/2020,16.50,1650.52,S,03/11/2020,10.45,1044.46,-606.06,Short,
AMZN Apr 17 '20 $2100 Call,2,03/10/2020,16.50,3301.03,S,03/11/2020,10.45,2088.92,-1212.12,Short,
AMZN Apr 17 '20 $2100 Call,1,03/10/2020,16.50,1650.52,S,03/11/2020,10.45,1044.46,-606.06,Short,
AMZN Apr 17 '20 $2100 Call,1,03/10/2020,16.50,1650.52,S,03/11/2020,10.45,1044.46,-606.06,Short,
AMZN Apr 17 '20 $2100 Call,2,03/10/2020,16.50,3301.03,S,03/11/2020,10.45,2088.92,-1212.12,Short,
AMZN Apr 17 '20 $2100 Call,2,03/10/2020,16.49,3299.03,S,03/11/2020,10.45,2088.92,-1210.12,Short,
AMZN Apr 17 '20 $2100 Call,1,03/10/2020,16.49,1649.52,S,03/11/2020,10.45,1044.46,-605.06,Short,
AMZN Apr 17 '20 $2100 Call,1,03/10/2020,16.49,1649.52,S,03/11/2020,10.45,1044.46,-605.06,Short,
AMZN Apr 17 '20 $2100 Call,6,03/19/2020,33.00,19803.10,S,03/19/2020,44.50,26696.30,6893.20,Short,
AMZN Apr 17 '20 $2100 Call,3,03/19/2020,33.00,9901.55,S,03/19/2020,44.50,13348.15,3446.60,Short,
AMZN Apr 17 '20 $2100 Call,21,03/19/2020,33.00,69310.84,S,03/19/2020,40.00,83987.26,14676.41,Short,
AMZN Apr 17 '20 $2140 Call,5,02/25/2020,30.80,15403.33,S,03/04/2020,21.77,10882.17,-4521.16,Short,
AMZN Apr 17 '20 $2140 Call,1,03/05/2020,16.81,1681.52,S,03/05/2020,19.30,1929.44,247.92,Short,
AMZN Apr 17 '20 $2140 Call,5,02/25/2020,30.80,15403.33,S,03/05/2020,20.54,10267.18,-5136.15,Short,
AMZN Apr 17 '20 $2140 Call,5,03/03/2020,17.20,8602.58,S,03/05/2020,21.00,10497.18,1894.59,Short,
AMZN Apr 17 '20 $2140 Call,4,03/05/2020,16.73,6694.07,S,03/05/2020,19.32,7725.76,1031.69,Short,
